Planet_name,Orbit_period,Semi_major_axis,Eccentricity,Mass (EU),Radius (EU),Density,Eqilibrium_temp,Insolation_flux,Distance,Effective_temp,Surface_Stellar_gravity,Stellar_luminosity,Stellar_mass,Stellar_radius,Habitable
Kepler-378 c,28.906009,0.166,,0.271,0.7,4.34,,8.17,155,4661,4.65,-0.677,0.78,0.67,0
Kepler-379 b,20.09838,0.152,,3.39,1.66,4.07,,90.35,719,6054,4.27,0.267,1.15,1.31,0
Kepler-379 c,62.784697,0.326,,5.86,2.29,2.68,,19.79,719,6054,4.27,0.267,1.15,1.31,0
Kepler-38 b,105.599,0.4632,0.032,122,4.3,,475,,600,5623,3.93,0.492,0.94,1.75,0
Kepler-380 b,3.930821,0.05,,1.81,1.19,5.9,,808.09,741,6045,4.29,0.265,1.08,1.22,0
Kepler-380 c,7.630004,0.078,,2.15,1.27,5.77,,333.56,741,6045,4.29,0.265,1.08,1.22,0
Kepler-381 b,5.629021,0.066,,0.937,0.99,5.31,,716.09,368,6152,4.12,0.506,1.44,1.57,0
Kepler-381 c,13.391635,0.117,,1.46,1.12,5.71,,225.33,368,6152,4.12,0.506,1.44,1.57,0
Kepler-382 b,5.262155,0.055,,2.3,1.32,5.5,,381.46,684,5600,4.4,0.006,0.88,0.94,0
Kepler-382 c,12.162701,0.097,,3.15,1.59,4.31,,124.74,684,5600,4.4,0.006,0.88,0.94,0
Kepler-383 b,12.904532,0.095,,2.3,1.32,5.5,,,470,4710,4.62,-0.698,0.75,0.67,0
Kepler-383 c,31.200751,0.172,,2.07,1.24,5.97,,,470,4710,4.62,-0.698,0.75,0.67,0
Kepler-384 b,22.597053,0.148,,1.46,1.12,5.71,,101.55,559,5577,4.47,0.378,0.97,0.88,0
Kepler-384 c,45.348269,0.236,,1.51,1.13,5.75,,40.1,559,5577,4.47,0.378,0.97,0.88,0
Kepler-385 b,10.043686,0.097,,12.8,2.73,3.46,,143.92,1550,6326,4.41,0.144,1.12,1.13,0
Kepler-385 c,15.163161,0.127,,13.2,3.04,2.58,,83.16,1550,6326,4.41,0.144,1.12,1.13,0
Kepler-386 b,12.31043,0.096,,2.51,1.39,5.14,,43.26,847,5178,4.56,-0.412,0.82,0.77,0
Kepler-386 c,25.193458,0.155,,3.12,1.58,4.35,,16.66,847,5178,4.56,-0.412,0.82,0.77,0
Kepler-387 b,6.791636,0.068,,1.08,1.03,5.43,,304.08,714,5774,4.35,0.119,0.95,1.05,0
Kepler-387 c,11.837549,0.098,,0.64,0.89,4.99,,144.96,714,5774,4.35,0.119,0.95,1.05,0
Kepler-388 b,3.173315,0.036,,0.457,0.81,4.73,,,425,4498,4.69,-0.439,0.73,0.59,0
Kepler-388 c,13.297004,0.093,,0.566,0.86,4.89,,,425,4498,4.69,-0.439,0.73,0.59,0
Kepler-389 b,3.244107,0.041,,2.89,1.51,4.61,,167.06,977,5376,4.57,-0.536,0.84,0.79,0
Kepler-389 c,14.51143,0.11,,2.73,1.46,4.82,,22.73,977,5376,4.57,-0.536,0.84,0.79,0
Kepler-39 b,21.08721,0.164,0.112,6388.1,13.9,13,897,90.22,1200,6350,4.4,0.24,1.29,1.4,0
Kepler-390 b,6.738088,0.065,,0.477,0.82,4.75,,99.97,435,5166,4.57,-0.375,0.86,0.78,0
Kepler-390 c,13.060022,0.101,,0.418,0.79,4.66,,41.35,435,5166,4.57,-0.375,0.86,0.78,0
Kepler-391 b,7.416755,0.082,,10.3,3.2,1.73,,748.71,1064,4940,3.46,0.623,1.03,3.57,0
Kepler-391 c,20.485435,0.161,,12.3,3.54,1.52,,193.09,1064,4940,3.46,0.623,1.03,3.57,0
Kepler-392 b,5.341853,0.059,,0.972,1,5.34,,450.65,673,5938,4.32,0.18,1.07,1.13,0
