Planet_name,Orbit_period,Semi_major_axis,Eccentricity,Mass (EU),Radius (EU),Density,Eqilibrium_temp,Insolation_flux,Distance,Effective_temp,Surface_Stellar_gravity,Stellar_luminosity,Stellar_mass,Stellar_radius,Habitable
Kepler-1527 b,160.129918,,,20.4,4.77,1.03,,7.81,1560.0,6224.0,4.27,0.43,1.21,1.32,0
Kepler-1528 b,1.79111021,,,2.73,1.46,4.82,,1106.85,916.0,5857.0,4.43,-0.072,1.03,1.03,0
Kepler-1529 b,5.33905686,,,5.06,2.1,3.0,,115.77,683.0,5048.0,4.58,-0.588,0.81,0.77,0
Kepler-153 b,18.870227,0.129,,8.85,2.92,1.95,,21.61,504.0,5404.0,4.45,-0.461,0.83,0.89,0
Kepler-153 c,46.90232,0.237,,6.94,2.53,2.35,,6.42,504.0,5404.0,4.45,-0.461,0.83,0.89,0
Kepler-1530 b,2.5904434,,,3.33,1.64,4.15,,353.56,552.0,5477.0,4.52,-0.319,0.92,0.88,0
Kepler-1530 c,5.3227406,,,3.36,1.65,4.11,,135.18,552.0,5477.0,4.52,-0.319,0.92,0.88,0
Kepler-1531 b,1.13854338,,,1.41,1.11,5.67,,,670.0,6260.0,4.29,0.26,1.16,1.27,0
Kepler-1532 b,1.09366356,,,2.39,1.35,5.34,,1705.76,824.0,5559.0,4.51,-0.21,0.91,0.88,0
Kepler-1533 b,308.5471,,,11.8,3.46,1.57,,4.79,852.0,6431.0,4.2,0.594,1.31,1.51,0
Kepler-1534 b,5.71668872,,,4.23,1.89,3.44,,,1107.0,5442.0,4.52,-0.233,0.9,0.86,0
Kepler-1535 b,138.9442,,,7.04,2.55,2.33,,5.38,879.0,6021.0,4.38,0.129,1.08,1.11,0
