pl_name,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,st_teff,st_rad,st_mass,st_lum,st_logg,ESI,isHabitable
Kepler-287 c,1,2,44.851896,0.246,3.26,10.7,5806,1.03,0.97,-0.134,4.4,0.319433204,0
Kepler-1062 b,1,1,9.30412078,0.0748,1.76,3.75,4597,0.7,0.75,-0.682,4.62,0.319256208,0
Kepler-1811 b,1,1,76.42230225,0.3462,3.848,14.1,5561,1.19,0.95,0.154,4.26,0.319254765,0
Kepler-1423 b,1,1,23.955378,0.1586,1.06,1.2,4939,0.75,0.79,-0.52,4.59,0.319122176,0
Kepler-1617 b,1,1,27.4785572,0.181,1.2,1.87,6167,1.22,1.15,0.341,4.32,0.318992799,0
Kepler-515 b,2,1,19.96371318,0.1333,1.46,2.73,5293,0.83,0.9,-0.312,4.55,0.318951532,0
Kepler-184 d,1,3,29.022358,0.179,2.49,6.76,5788,0.87,0.97,-0.225,4.51,0.318947989,0
Kepler-1897 b,1,1,24.22030067,0.1546,2.814,8.32,5165,0.76,0.86,-0.39,4.6,0.318725724,0
TOI-1696 b,1,1,2.500311,0.0229,3.09,48.8,3185,0.28,0.26,-2.148,4.96,0.318698095,0
Kepler-921 b,1,1,51.300634,0.2716,2.87,8.6,5663,0.91,0.93,-0.03,4.5,0.318607097,0
Kepler-466 b,1,2,51.07926307,0.2671,2.85,8.5,5927,1.05,1.04,-0.067,4.42,0.318570867,0
Kepler-264 c,1,2,140.101261,0.566,2.83,8.4,6158,1.55,1.46,0.689,4.15,0.318436368,0
Kepler-193 c,1,2,50.697494,0.286,2.75,8,6335,1.15,1.14,0.1,4.4,0.318369564,0
Kepler-83 d,2,3,5.169796,0.051,1.94,24.6,4648,0.59,0.58,-1.102,4.72,0.318117591,0
Kepler-83 b,2,3,9.77,0.07295,2.83,42.1,4082,0.61,0.66,-1.102,4.69,0.318078467,0
Kepler-1388 b,1,4,12.2854603,0.0882,2.59,7.22,4098,0.61,0.63,-1.107,4.67,0.317887241,0
Kepler-327 b,1,3,2.549575,0.029,1.11,1.41,3799,0.49,0.59,-1.26,4.76,0.317759498,0
Kepler-1952 b,1,1,27.21080017,0.1724,1.239,2.07,5973,1.31,0.92,0.291,4.17,0.317592694,0
HD 191939 d,1,6,38.353037,0.2132,2.995,2.8,5348,0.94,0.81,-0.187,4.3,0.317369581,0
Kepler-265 d,1,4,43.130617,0.236,2.49,6.76,5835,1.1,0.98,0.005,4.33,0.317326361,0
Kepler-209 c,1,2,41.749882,0.231,3.1,9.8,5513,0.94,0.93,-0.129,4.47,0.317226075,0
Kepler-1570 b,1,1,26.548955,0.1784,1.07,1.24,5550,0.89,0.92,0.414,4.5,0.317207359,0
Kepler-530 b,2,1,39.30941904,0.2212,3.01,9.32,5697,0.89,0.97,-0.132,4.53,0.317087736,0
Kepler-1265 b,1,1,6.49441289,0.0612,1.35,2.39,4630,0.69,0.71,-0.7,4.63,0.317066916,0
K2-14 b,1,1,8.36802,0.0627,4.81,20.7,3789,0.45,0.47,-0.968,4.89,0.31698438,0
Kepler-662 b,1,1,21.67697486,0.1408,2.18,5.39,4897,0.74,0.79,-0.356,4.6,0.316925103,0
Kepler-857 b,1,1,85.35129427,0.3751,6.8,37.2,5773,0.99,0.99,-0.071,4.45,0.316670903,0
Kepler-290 b,1,3,14.589347,0.11,2.25,5.69,5147,0.74,0.8,-0.586,4.62,0.316637951,0
Kepler-415 b,1,2,4.176,0.0426,1.21,119.9,4362,0.64,0.67,-0.805,4.62,0.316618376,0
Kepler-954 b,1,1,16.78176602,0.118,2.32,5.99,4990,0.76,0.82,-0.572,4.59,0.316481426,0
Kepler-1243 b,1,1,16.8320729,0.1256,1.75,3.71,5667,0.94,0.96,-0.244,4.48,0.31642447,0
Kepler-444 f,3,5,9.740486,0.0811,0.741,0.332,5046,0.75,0.76,-0.425,4.56,0.316167597,0
K2-413 c,1,2,5.3301,0.0426,1.233,2.05,4116,0.7,0.81,-0.833,4.66,0.316052622,0
Kepler-1504 b,1,1,82.304003,0.3704,2.13,5.18,5393,0.81,0.85,0.468,4.55,0.316015585,0
Kepler-1541 b,1,1,8.40691199,0.0781,1.16,1.65,5282,0.81,0.86,-0.336,4.56,0.315907428,0
Kepler-1644 b,1,1,21.0907758,0.142,1.88,4.19,5499,0.86,0.89,-0.215,4.53,0.31581966,0
Kepler-398 b,1,3,4.081423,0.044,0.93,0.749,4493,0.61,0.65,-0.811,4.69,0.315700075,0
K2-65 b,1,1,12.6475,0.1014,1.58,3.12,5213,0.84,0.87,-0.328,4.53,0.315690576,0
Kepler-1194 b,1,1,16.22371307,0.1212,1.51,2.89,5590,0.92,0.94,-0.127,4.49,0.315597774,0
K2-414 b,1,2,4.3696,0.0487,1.219,1.98,4343,0.73,0.81,-0.705,4.62,0.315523679,0
K2-233 c,1,3,7.06005,0.06666,1.281,12.81,5033,0.71,0.79,-0.523,4.64,0.315442739,0
Kepler-462 c,1,2,207.62,0.7584,4,6,7500,1.57,1.59,0.926,4.22,0.315435672,0
Kepler-1481 b,1,1,5.94220998,0.059,1.23,2.04,4908,0.75,0.8,-0.587,4.6,0.315256427,0
TOI-1693 b,1,1,1.7666957,0.0226,1.41,2.57,3499,0.46,0.49,-1.554,4.8,0.31521292,0
Kepler-1953 b,1,1,6.24565983,0.0607,1.286,2.2,4858,0.71,0.79,-0.63,4.62,0.315058699,0
Kepler-1980 b,1,1,33.0257179,0.2049,2.21,5.52,5819,0.99,1.05,0.224,4.47,0.314956191,0
Kepler-11 f,1,6,46.6888,0.25,2.49,2,5663,1.06,0.96,0.12,4.37,0.314923758,0
Kepler-1482 b,1,1,12.25383217,0.1016,1.01,1.01,5381,0.84,0.88,-0.083,4.54,0.314790889,0
Kepler-1477 b,1,1,11.55530021,0.0911,1.18,1.76,5100,0.78,0.81,-0.196,4.58,0.314606174,0
Kepler-397 b,1,2,22.250949,0.144,2.46,6.62,5307,0.77,0.84,-0.376,4.57,0.314602368,0
