pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,st_rad,st_mass,st_lum,ESI,isHabitable
62.8916228,0.2881,2.35,6.12,0.83,0.87,-0.378,0.523838237,0
44.96417488,0.2298,2.13,5.18,0.75,0.81,-0.585,0.523281242,0
48.4308991,0.239,2.26,5.73,0.77,0.82,-0.523,0.522439852,0
56.228098,0.268,2.51,6.85,0.76,0.76,-0.475,0.52231514,0
50.92092,0.245,2.54,6.99,0.73,0.76,-0.561,0.521051597,0
124.5244647,0.4865,2.66,7.56,1.02,1.01,0.009,0.520888308,0
374.876239,1.0525,3.19,10.3,0.89,0.92,-0.265,0.520570303,0
65.6478424,0.3197,2.22,5.56,0.85,0.88,-0.342,0.520468301,0
24.08821,0.135,1.11,1.41,0.53,0.6,-0.928,0.520311274,0
32.134328,0.159,1.64,3.33,0.49,0.65,-0.784,0.520239127,0
105.9564148,0.4217,3.96,14.9,0.83,0.87,-0.36,0.520154554,0
9.87863917,0.0692,1.84,4.04,0.5,0.52,-1.368,0.519518821,0
58.034616,0.261,1.89,4.23,0.68,0.9,-0.418,0.518534885,0
17.96753,0.119,2.23,5.6,0.66,0.71,-0.997,0.517662598,0
29.9633247,0.1614,1.96,4.5,0.67,0.7,-0.844,0.516773578,0
124.4198398,0.479,5.23,23.8,0.81,0.85,-0.362,0.515120441,0
30.5987,0.14339,5.19,23.54,0.4,0.42,-1.658,0.513934053,0
34.21154,0.189,1.18,1.76,0.72,0.8,-0.584,0.512903076,0
81.73778,0.3554,2.215,12.9,0.87,0.89,-0.179,0.5124311,0
109.4449997,0.4276,3.606,12.7,0.87,0.87,-0.217,0.511978346,0
92.4362973,0.3729,3.04,9.48,0.87,0.9,-0.319,0.511459921,0
84.5733226,0.3778,2.86,8.55,0.9,0.94,-0.258,0.511006516,0
3.1443189,0,0.95,0.809,0.2,0.17,-2.387,0.511004898,0
44.2008,0.2196,1.19,1.81,0.78,0.82,-0.464,0.509491309,0
4.8869,0.0375,1.21,1.91,0.31,0.29,-1.991,0.509479126,0
10.864384,0.079,1.61,3.22,0.48,0.5,-1.509,0.509087055,0
211.0339966,0.6266,3.15,10.1,0.69,0.74,-0.662,0.508854364,0
22.08557563,0.13,2.97,9.11,0.54,0.57,-1.229,0.508130334,0
10.894843,0.0736,2.37,13.5,0.42,0.45,-1.58,0.507675275,0
213.257663,0.6085,3.11,9.85,0.7,0.73,-0.73,0.507565004,0
13.7815,0.0913,1.51,2.3,0.54,0.54,-1.252,0.507325032,0
210.630591,0.6477,3.6,12.6,0.77,0.81,-0.623,0.506406375,0
59.284064,0.2832,1.81,3.93,0.86,0.86,-0.322,0.505526926,0
20.837846,0.128,1.21,1.92,0.59,0.65,-0.889,0.505279579,0
31.8277111,0.1939,1.77,3.78,0.71,0.75,-0.652,0.505076776,0
13.342996,0.0781,1.4,2.54,0.47,0.48,-1.385,0.503529864,0
172.7049784,0.5886,2.71,7.8,1.08,1.02,0.207,0.499089538,0
58.02035,0.279,3.319,15.2,0.82,0.87,-0.579,0.499057374,0
4.6122,0.0345,1.23,2.04,0.26,0.26,-1.545,0.497672861,0
25.575,0.1538,1.565,3,0.68,0.74,-0.777,0.496490329,0
149.61,0.554,3.89,14.4,1,1.01,-0.009,0.496202227,0
105.3033148,0.4238,3.26,10.7,0.91,0.97,-0.145,0.495227305,0
386.370548,0.9712,3.13,9.96,0.82,0.86,-0.339,0.49463058,0
28.122397,0.163,0.98,0.904,0.67,0.65,-0.676,0.493944542,0
7.397225,0.0559,1.52,2.68,0.43,0.43,-1.643,0.493646072,0
11.332,0.083,1.64,3.33,0.57,0.59,-1.31,0.493225897,0
9.99767,0.07131,1.483,2.8,0.42,0.48,-1.204,0.493069832,0
2.02087,0.01634,0.913,0.7,0.16,0.14,-2.659,0.492974113,0
19.271566,0.114,1.93,24.1,0.49,0.58,-1.036,0.492763472,0
77.03,0.328,2.55,12.6,0.84,0.81,-0.273,0.492643528,0
